Party,Cases
Bhartiya Bahujan Kranti Dal,4
Bhartiya Bhaichara Party,1
Bhartiya Dalit Party,3
Bhartiya Harit Party,1
Bhartiya Hind Fauj,1
Bhartiya Jan Nayak Party,1
Bhartiya Kisan Party,7
Bhartiya Krishak Dal,1
Bhartiya Lok Seva Dal,1
Bhartiya Lokmat Rashtrwadi Party,1
Bhartiya Manavadhikaar Federal Party,1
Bhartiya Manvadhikaar Federal Party,2
Bhartiya Mitra Party,1
Bhartiya Naujawan Inklav Party,1
Bhartiya Navjawan Sena (Paksha),1
Bhartiya Navodaya Party,1
Bhartiya Nojawan Dal,1
Bhartiya Panchyat Party,1
Bhartiya Sarvjan Hitey Samaj Party,1
Bhartiya Sarvodaya Party,1
Bhartiya Shakti Chetna Party,8
Bhartiya Tribal Party,9
Bihar Lok Nirman Dal,3
Bodoland Peoples Front,1
CPI,19
CPI(M),34
CPI(ML) Red Star,17
CPI(ML)(L),8
Chhattisgarh Swabhiman Manch,2
Chhattisgarh Vikas Ganga Rashtriya Party,1
Christian Democratic Front,1
DMDK,4
DMK,24
Dalit Soshit Pichhara Varg Adhikar Dal,1
Dalita Bahujana Party,3
Democratic Corruption Liberation Front,1
Democratic Prajakranthi Party Secularist,1
Desh Janhit Party,1
Desiya Makkal Sakthi Katchi,8
Desiya Uzhavar Uzhaipalar Kazhagam,3
Dogra Swabhiman Sangathan Party,2
Engineers Party,1
Ezhuchi Tamilargal Munnetra Kazhagam,1
Fauji Janta Party,1
Forward Democratic Labour Party,1
Freethought Party of India,1
Ganasangam Party of India,3
Gareeb Aadmi Party,1
Garib Janshakti Party,1
Garvi Gujarat Party,3
Gondvana Gantantra Party,12
Gorkha Rashtriya Congress,1
Gujarat Janta Panchayat Party,1
Hamari Apni Party,1
Hamro Sikkim Party,1
Hardam Manavtawadi Rashtriya Dal,1
Hind Samrajya Party,1
Hindustan Janta Party,6
Hindustani Awam Morcha (Secular),2
Hindusthan Nirman Dal,25
Hindusthan Praja Paksha,1
Hum Bhartiya Party,5
INC,226
IND,2153
IUML,7
Ilantamilar Munnani Kazhagam,1
Independent Peoples Party,1
India Praja Bandhu Party,11
Indian Christian Front,4
Indian Democratic Republican Front,1
Indian Gandhiyan Party,1
Indian Labour Party (Ambedkar Phule),4
Indian New Congress Party,4
Indian Rakshaka Nayakudu Party,1
Indigenousn Peoples Front Of Tripura,2
Inqalab Vikas Dal,1
JD(S),9
JD(U),13
JMM,6
Jai Hind Party,1
Jai Maha Bharath Party,1
Jai Swaraj Party,1
Jai Vijaya Bharathi Party,1
Jamat-E-Seratul Mustakim,1
Jammu & Kashmir National Conference,2
Jammu & Kashmir National Panthers Party,6
Jammu & Kashmir People Conference,2
Jammu & Kashmir Peoples Democratic Party,1
Jammu & Kashmir Pir Panjal Awami Party,1
Jan Adesh Akshuni Sena,1
Jan Adhikar Party,3
Jan Adhikar Party (Loktantrik),1
Jan Sangharsh Virat Party,2
Jan Satya Path Party,4
Jan Seva Sahayak Party,1
Jan Shakti Dal,2
Jan Shakti Ekta Party,1
Jana Jagruti Party,7
Janapaalana Party (Democratic),1
Janasena Party,23
Janhit Kisan Party,1
Jansatta Party,2
Janta Dal Rashtravadi,1
Kalinga Sena,3
Kalyankari Jantantrik Party,1
Kamatapur Peoples Party (United),6
Kannada Chalavali Vatal Paksha,1
Karnataka Jantha Paksha,2
Karnataka Karmikara Paksha,4
Karnataka Pragnyavantha Janatha Party,1
Karnataka Praja Party (RaithaParva),2
Kartavya Rashtriya Party,1
Kerala Congress,1
Kerala Congress (M),1
Khusro Sena Party,1
Kisan Mazdoor Sangharsh Party,1
Kranti Kari Jai Hind Sena,3
Krupaa Party,2
LJP,3
Lok Dal,2
Lok Gathbandhan Party,2
Lok Sewa Dal,1
Lokjagar Party,1
Loktantrik Janshakti Party,1
Loktantrik Rashrtavadi Party,1
MNF,1
Maharashtra Kranti Sena,1
Maharashtra Swabhimaan Paksh,2
Mahasankalp Janta Party,1
Majdoor Kisan Union Party,1
Makkal Needhi Maiam,37
"Makkal Sananayaga Kudiyarasu Katchi,",1
Makkalatchi Katchi,2
Manipur Democratic Peoples Front,1
Manipur Peoples Party,1
Manvadhikar National Party,3
Marxist Communist Party of India (United),5
Marxist Leninist Party of India (Red Flag),1
Minorities Democratic Party,2
Moolniwasi Samaj Party,2
Moulik Adhikar Party,2
Mundadugu Praja Party,4
NCP,21
NPF,1
NPP,10
Naam Indiar Party,2
Naam Tamilar Katchi,35
Naitik Party,2
National Bhrashtachar Mukt Party,1
National Dalitha Dhal Party,1
National Development Party,1
National Fifty Fifty Front,1
National Labour Party,1
National Lokmat Party,1
National Nava Kranthi Party,1
National Peoples Party,1
National Republican Congress,2
National Women,1
National Womens Party,1
Nationalist Democratic Progressive Party,1
Nava Praja Rajyam Party,1
Nava Samaj Party,1
Navarang Congress Party,5
Navataram Party,1
Navbharat Nirman Party,1
Navodayam Party,2
Navsarjan Bharat Party,1
New All India Congress Party,2
New India Party,2
Nirbhay Bharteey Party,1
North East India Development Party,2
Odisha Pragati Dal,1
PRISM Party,1
Party for Democratic Socialism,1
Pattali Makkal Katchi,6
Peace Party,3
Peoples Democratic Party,3
Peoples Party of Arunachal,2
Peoples Party of India (Democratic),18
Peoples Party of India(secular),2
People�s Union Party,1
Prabuddha Republican Party,3
Pragatisheel Lok Manch,1
Pragatisheel Samaj Party,1
Pragatishil Samajwadi Party (Lohia),24
Prahar Janshakti Party,1
Praja Satta Party,2
Praja Shanthi Party,4
Prajaa Swaraaj Party,1
Prajatantra Aadhar Party,1
Pravasi Nivasi Party,1
Prem Janata Dal,1
Proutist Bloc India,1
"Proutist Bloc, India",2
Proutist Sarva Samaj,2
Public Mission Party,1
Puducherry Development Party,1
Purvanchal Janta Party (Secular),9
Pyramid Party of India,40
RJD,5
RLD,3
RPI,4
RPI(A),15
RPI(Khobragade),2
Radical Democrats Party,1
Raita Bharat Party,1
Rajyadhikara Party,1
Rashtra Vikas Zumbes Party,1
Rashtravadi Janata Party,2
Rashtravadi Party (Bharat),1
Rashtriya Backward Party,1
Rashtriya Bahujan Congress Party,1
Rashtriya Bharatiya Jan Jan Party,3
Rashtriya Gondvana Party,1
Rashtriya Indepndent Morcha,1
Rashtriya Janasachetan Party,1
Rashtriya Janhit Sangharsh Party,1
Rashtriya Jankranti Party,1
Rashtriya Jansabha Party,7
Rashtriya Jansambhavna Party,5
Rashtriya Janshakti Party (Secular),2
Rashtriya Jansurajya Party,2
Rashtriya Janta Party,1
Rashtriya Kranti Party,1
Rashtriya Krantikari Samajwadi Party,1
Rashtriya Lok Samta Party,1
Rashtriya Lok Sarvadhikar Party,1
Rashtriya Mahila Party,1
Rashtriya Mazdoor Ekta Party,2
Rashtriya Naujawan Dal,1
Rashtriya Nav Nirman Bharat Party,1
Rashtriya Power Party,2
Rashtriya Praja Congress (Secular),1
Rashtriya Samaj Paksha,7
Rashtriya Samajwadi Party (Secular),2
Rashtriya Samanta Dal,2
Rashtriya Shoshit Samaj Party,4
Rashtriya Surya Prakash Party,1
Rashtriya Ulama Council,2
Rashtriya Vyapari Party,1
Rastriya Aam Jan Seva Party,1
Rayalaseema Rashtra Samithi,1
Real Democracy Party,1
Republican Paksha (Khoripa),1
Republican Party of India (Kamble),1
Republican Party of India (Karnataka),4
Republican Sena,4
Revolutionary Socialist Party,3
Right to Recall Party,7
SDF,1
SDPI,13
SHS,41
SP,17
SUCI(C),56
Sabka Dal United,1
Sabse Achchhi Party,2
Samaanya Praja Party,1
Samajwadi Forward Bloc,11
Samajwadi Jan Parishad,1
Samajwadi Janata Dal Democratic,1
Samajwadi Janata Party(Karnataka),1
Samata Kranti Dal,1
Sangharsh Sena,1
Sanman Rajkiya Paksha,1
Sanyukt Vikas Party,3
Sardar Vallabhbhai Patel Party,3
Sarv Vikas Party,1
Sarva Janata Party,3
Sarvadharam Party,1
Sarvjan Lok Shakti Party,2
Sarvodaya Bharat Party,3
Secular Democratic Congress,4
Shakti Sena (Bharat Desh),1
Shoshit Samaj Dal,1
Sikkim Krantikari Morcha,1
Sikkim Republican Party,1
Sikkim United Front,1
Social Justice Party of India,3
Subhashwadi Bhartiya Samajwadi Party,2
Subhashwadi Bhartiya Samajwadi Party (Subhas,1
Suheldev Bhartiya Samaj Party,1
Sunder Samaj Party,1
Svatantra Bharat Satyagrah Party,2
Swabhiman Party,1
Swabhimani Paksha,2
Swaraj Party (Loktantrik),1
Swarna Bharat Party,2
Swatantra Bharat Paksha,3
Swatantra Jantaraj Party,4
TDP,25
TRS,17
Tamil Maanila Congress (Moopanar),1
Tamil Nadu Ilangyar Katchi,16
Tamil Telugu National Party,1
Tamizhaga Murpokku Makkal Katchi,1
Telangana Communist Party of India,1
Telangana Jana Samithi,1
Telangana Prajala Party,1
Telangana Sakalajanula Party,1
Telangana Yuva Shakti,1
The Future India Party,1
The National Road Map Party of India,1
UKD,4
UTTARAKHAND PARIVARTAN PARTY,1
Ulzaipali Makkal Katchy,6
United Democratic Front Secular,1
United Democratic Party,1
"United Peoples Party, Liberal",1
United States of India Party,1
Universal Brotherhood Movement,1
Uttama Prajaakeeya Party,26
Uttarakhand Kranti Dal (Democratic),4
Uttarakhand Pragatisheel Party,1
VANCHITSAMAJ INSAAF PARTY,3
Vanchit Bahujan Aaghadi,29
Vanchit Samaj Party,1
Viduthalai Chiruthaigal Katchi,6
Vikassheel Insaan Party,1
Vishwa Jana Party,2
Vivasayigal Makkal Munnetra Katchi,1
Voters Party International,8
Vyavastha Parivartan Party,4
Welfare Party Of India,2
YSRCP,25
Yekikrutha Sankshema Rashtriya Praja Party,1
Yuva Jan Jagriti Party,6
Yuva Sarkar,2
